Nick;suma;z1;z2;z3;z4;z5;z6;z7;z8;z9;z10;GR 
Kubala69;52;7;0;8;8;5;9;0;0;8;7;B3 
CZARNA WDOWA;78;6;10;5;10;5;10;0;15;10;7;B3 
BENO;69;8;10;6;10;2;3;4;15;10;1;A3 
Nowocien_dobry;74;7;10;0;10;5;10;0;15;10;7;B3 
Klocek12;58;8;0;1;5;5;10;0;15;7;7;A3 
PATAPON;69;9;0;7;10;1;10;0;15;10;7;A3 
kuki;67;6;6;0;8;0;10;5;15;10;7;A3 
AAAHHH;63;9;0;0;10;5;3;4;15;10;7;A3 
DOHM;61;10;0;0;10;5;10;0;11;10;5;A3 
PAN ZORVETH;53;7;0;9;7;3;4;0;15;8;0;B3 
brak id;88;10;10;10;10;4;10;2;15;10;7;B3 
Kokodżambo;10;5;0;0;0;5;0;0;0;0;0;B3 
REPOK;83;10;4;9;10;5;10;3;15;10;7;A3 
Kozak126p;76;0;10;9;10;5;10;0;15;10;7;A3 
WRZUT;47;10;0;0;6;4;10;0;10;0;7;A3 
trade33;55;7;0;7;10;5;10;0;15;1;0;B3 
Kajak;78;5;10;6;10;5;10;0;15;10;7;B3 
Medran;77;10;10;0;10;5;10;0;15;10;7;B3 
hejka98;68;6;10;0;10;3;10;0;15;7;7;A3 
Daer;86;10;10;9;10;5;10;0;15;10;7;A3 
Hanys;29;7;0;0;10;5;4;0;3;0;0;B3 
Emil;39;4;10;0;0;1;1;0;15;8;0;B3 
elmeco;69;9;0;9;10;5;10;4;5;10;7;A3 
WIELKI_SUMATOR;66;7;0;2;10;5;10;0;15;10;7;A3 
PAPUT;53;10;0;3;10;5;10;0;15;0;0;A3 
br71;82;7;10;10;10;3;10;0;15;10;7;B3 
ps1122;75;6;10;9;10;5;10;0;15;10;0;B3 
Asedar;57;10;0;1;10;5;10;0;14;0;7;B3 
XXXDDD;52;8;5;8;9;1;3;0;15;0;3;B3 
TUROSZ98;83;10;10;9;10;3;10;0;14;10;7;A3 
MAX DO UZYSKANIA;97;10;10;10;10;5;10;10;15;10;7;AB3 
